SubjNum	Condition	Movie	MS
e2801	warned	A	7014
e2801	warned	A	13357
e2801	warned	A	18857
e2801	warned	A	24352
e2801	warned	A	30881
e2801	warned	A	43112
e2801	warned	A	71586
e2801	warned	A	87203
e2801	warned	A	102427
e2801	warned	A	121738
e2801	warned	A	124037
e2801	warned	A	163235
e2801	warned	A	174064
e2801	warned	B	10952
e2801	warned	B	16952
e2801	warned	B	27136
e2801	warned	B	42233
e2801	warned	B	52626
e2801	warned	B	58260
e2801	warned	B	69339
e2801	warned	B	83910
e2801	warned	B	100036
e2801	warned	B	107669
e2801	warned	B	111666
e2801	warned	B	130037
e2801	warned	B	132393
e2801	warned	B	134262
e2801	warned	B	138408
e2801	warned	B	150920
e2801	warned	B	156582
e2801	warned	B	163615
e2801	warned	B	166978
e2801	warned	B	170926
e2801	warned	B	174395
e2801	warned	B	180100
e2801	warned	B	182978
e2801	warned	B	186357
e2801	warned	B	195217
e2801	warned	B	197257
e2801	warned	B	199585
e2801	warned	B	213519
e2801	warned	B	222655
e2801	warned	B	240142
e2801	warned	B	250353
e2801	warned	B	256688
e2801	warned	B	268683
e2801	warned	B	277152
e2801	warned	B	302506
e2801	warned	B	304186
e2801	warned	B	311375
e2801	warned	B	322676
e2801	warned	B	324683
e2801	warned	C	20520
e2801	warned	C	23773
e2801	warned	C	27703
e2801	warned	C	34495
e2801	warned	C	43118
e2801	warned	C	47033
e2801	warned	C	52960
e2801	warned	C	57309
e2801	warned	C	62304
e2801	warned	C	66271
e2801	warned	C	72319
e2801	warned	C	75949
e2801	warned	C	82545
e2801	warned	C	94266
e2801	warned	C	103394
e2801	warned	C	115028
e2801	warned	C	119246
e2801	warned	C	121901
e2801	warned	C	123507
e2801	warned	C	126405
e2801	warned	C	130045
e2801	warned	C	132881
e2801	warned	C	135440
e2801	warned	C	139083
e2801	warned	C	140243
e2801	warned	C	142121
e2801	warned	C	145071
e2801	warned	C	153247
e2801	warned	C	155999
e2801	warned	C	159390
e2801	warned	C	163526
e2801	warned	C	171507
e2801	warned	C	173853
e2801	warned	C	177468
e2801	warned	C	179289
e2801	warned	C	184750
e2801	warned	C	185558
e2801	warned	C	188427
e2801	warned	C	191166
e2801	warned	C	193422
e2801	warned	C	200589
e2801	warned	C	210283
e2801	warned	C	213201
e2801	warned	C	216282
e2801	warned	C	226071
e2801	warned	C	231393
e2801	warned	C	233257
e2801	warned	C	234882
e2801	warned	C	238874
e2801	warned	C	241779
e2801	warned	C	243558
e2802	warned	B	17510
e2802	warned	B	26699
e2802	warned	B	42246
e2802	warned	B	53005
e2802	warned	B	58579
e2802	warned	B	76135
e2802	warned	B	112325
e2802	warned	B	119377
e2802	warned	B	150533
e2802	warned	B	201239
e2802	warned	B	268988
e2802	warned	B	304315
e2802	warned	B	322943
e2802	warned	C	32679
e2802	warned	C	81075
e2802	warned	C	129823
e2802	warned	C	188270
e2802	warned	C	206105
e2802	warned	C	218838
e2802	warned	C	241578
e2802	warned	A	18264
